artist_spotify_id,award_id,award_year
4tw2Lmn9tTPUv7Gy7mVPI4,98,1979
4tw2Lmn9tTPUv7Gy7mVPI4,99,1979
4tw2Lmn9tTPUv7Gy7mVPI4,99,1980
4tw2Lmn9tTPUv7Gy7mVPI4,99,1981
4tw2Lmn9tTPUv7Gy7mVPI4,99,1983
4tw2Lmn9tTPUv7Gy7mVPI4,99,1985
4tw2Lmn9tTPUv7Gy7mVPI4,81,1979
4tw2Lmn9tTPUv7Gy7mVPI4,81,1980
4tw2Lmn9tTPUv7Gy7mVPI4,81,1981
4tw2Lmn9tTPUv7Gy7mVPI4,81,1982
4tw2Lmn9tTPUv7Gy7mVPI4,81,1985
4NEYQeEYBUjfaXgDQGvFvu,58,2007
4BoRxUdrcgbbq1rxJvvhg9,86,_
4BoRxUdrcgbbq1rxJvvhg9,9,1975
4BoRxUdrcgbbq1rxJvvhg9,39,1974
4BoRxUdrcgbbq1rxJvvhg9,39,1975
4BoRxUdrcgbbq1rxJvvhg9,81,1974
6qhOH2mrlqUDod9sWA5kR2,67,2012
3r17AfJCCUqC9Lf0OAc73G,8,2012
27vNK840zYq6IfDijHPsv1,67,2021
27vNK840zYq6IfDijHPsv1,58,2002
7LnaAXbDVIL75IVPnndf7w,38,2007
4uoz4FUMvpeyGClFTTDBsD,40,2021
4uoz4FUMvpeyGClFTTDBsD,67,2016
4uoz4FUMvpeyGClFTTDBsD,58,2009
67ea9eGLXYMsO2eYQRui3w,13,2001
09xj0S68Y1OU1vHMCZAIvz,54,2000
09xj0S68Y1OU1vHMCZAIvz,53,2004
09xj0S68Y1OU1vHMCZAIvz,55,2000
293zczrfYafIItmnmM3coR,50,2014
293zczrfYafIItmnmM3coR,13,1984
6hnWRPzGGKiapVX1UCdEAC,13,1999
0iOVhN3tnSvgDbcg25JoJb,13,2003
5Dl3HXZjG6ZOWT5cV375lk,103,_
5Dl3HXZjG6ZOWT5cV375lk,50,2012
5Dl3HXZjG6ZOWT5cV375lk,100,2002
5Dl3HXZjG6ZOWT5cV375lk,104,1978
5Dl3HXZjG6ZOWT5cV375lk,105,2006
5Dl3HXZjG6ZOWT5cV375lk,106,2000
2CvCyf1gEVhI0mX6aFXmVI,31,2001
2CvCyf1gEVhI0mX6aFXmVI,11,1998
2CvCyf1gEVhI0mX6aFXmVI,50,2012
2CvCyf1gEVhI0mX6aFXmVI,56,2007
2CvCyf1gEVhI0mX6aFXmVI,13,_
1zuJe6b1roixEKMOtyrEak,9,1985
1zuJe6b1roixEKMOtyrEak,5,2008
1zuJe6b1roixEKMOtyrEak,107,1999
1zuJe6b1roixEKMOtyrEak,38,1972
1zuJe6b1roixEKMOtyrEak,39,1985
7mEIug7XUlQHikrFxjTWes,31,2009
7mEIug7XUlQHikrFxjTWes,11,2018
4aeIWo5CMF1uRmqgJdwkZW,67,2021
4aeIWo5CMF1uRmqgJdwkZW,108,2000
0vn7UBvSQECKJm2817Yf1P,31,2006
72OaDtakiy6yFqkt4TsiFt,29,2000
003f4bk13c6Q3gAUXv7dGJ,87,2014
5zCaQxjl110XTrm4LQ1CxY,109,_
5zCaQxjl110XTrm4LQ1CxY,110,1977
5zCaQxjl110XTrm4LQ1CxY,111,1984
2DmYtFBKcxb3ajwWWgA576,67,2021
5v8jlSmAQfrkTjAlpUfWtu,13,2002
0MHgLfmQdutffmvWe5XBTN,112,1962
1eYhYunlNJlDoQhtYBvPsi,50,1998
1eYhYunlNJlDoQhtYBvPsi,13,1988
79bxUQsBIXO8nVLB9fYKf7,76,1999
7FIoB5PHdrMZVC3q2HE5MS,48,1970
7HGNYPmbDrMkylWqeFCOIQ,102,_
2lolQgalUvZDfp5vvVtTYV,17,2007
2lolQgalUvZDfp5vvVtTYV,9,1963
2lolQgalUvZDfp5vvVtTYV,31,1995
2lolQgalUvZDfp5vvVtTYV,5,1995
2lolQgalUvZDfp5vvVtTYV,12,1963
2lolQgalUvZDfp5vvVtTYV,13,2001
2lolQgalUvZDfp5vvVtTYV,6,2012
2lolQgalUvZDfp5vvVtTYV,56,2017
5wTAi7QkpP6kp8a54lmTOq,111,1877
4d3yvTptO48nOYTPBcPFZC,8,2002
2mxe0TnaNL039ysAj51xPQ,14,1998
41qil2VaGbD194gaEcmmyx,33,1989
4GQwgdcDQwqtcHICjUNndp,113,_
4GQwgdcDQwqtcHICjUNndp,29,_
4GQwgdcDQwqtcHICjUNndp,111,1999
4GQwgdcDQwqtcHICjUNndp,114,1994
4GQwgdcDQwqtcHICjUNndp,100,2000
4GQwgdcDQwqtcHICjUNndp,114,2003
4GQwgdcDQwqtcHICjUNndp,105,2013
3pO5VjZ4wOHCMBXOvbMISG,102,_
3pO5VjZ4wOHCMBXOvbMISG,13,2012
3RwQ26hR2tJtA8F9p2n7jG,115,1999
3RwQ26hR2tJtA8F9p2n7jG,13,2012
3RwQ26hR2tJtA8F9p2n7jG,13,2013
3RwQ26hR2tJtA8F9p2n7jG,37,2000
3RwQ26hR2tJtA8F9p2n7jG,38,1968
3RwQ26hR2tJtA8F9p2n7jG,38,1972
3MdG05syQeRYPPcClLaUGl,13,2012
0OcclcP5o8VKH2TRqSY2A7,29,_
0OcclcP5o8VKH2TRqSY2A7,63,2002
0OcclcP5o8VKH2TRqSY2A7,32,2003
0OcclcP5o8VKH2TRqSY2A7,18,2003
0OcclcP5o8VKH2TRqSY2A7,48,2001
0OcclcP5o8VKH2TRqSY2A7,48,2003
7dzq55YG3wjViqexDwiycQ,102,_
4OgNARLQSC4yy7Dsa5cqxx,67,2018
6pRi6EIPXz4QJEOEsBaA0m,116,_
1nIUhcKHnK6iyumRyoV68C,29,_
1nIUhcKHnK6iyumRyoV68C,25,2014
1nIUhcKHnK6iyumRyoV68C,48,2014
1nIUhcKHnK6iyumRyoV68C,117,2013
5l8VQNuIg0turYE1VtM9zV,29,_
5l8VQNuIg0turYE1VtM9zV,70,1994
5l8VQNuIg0turYE1VtM9zV,70,2013
5l8VQNuIg0turYE1VtM9zV,103,2011
5l8VQNuIg0turYE1VtM9zV,5,2007
5l8VQNuIg0turYE1VtM9zV,13,2010
5l8VQNuIg0turYE1VtM9zV,118,1993
2NPduAUeLVsfIauhRwuft1,119,2008
2NPduAUeLVsfIauhRwuft1,120,_
2NPduAUeLVsfIauhRwuft1,121,_
